фру	скандинавские страна
подачка	кусок еды
хождение	процесс действия
заведование	процесс действия
левиафан	библейское сказание
пополнение	процесс действия
связанность	отсутствие свободы
контур	графическое изображение
мотоцикл	механический экипаж
пенсион	денежное содержание
герб	условное изображение
девушка	высокое женщина
животина	домашний скот
муштра	обучение военных
пророк	предсказатель будущего
узел	внесистемная единица
торжество	торжественная обстановка
герань	комнатный цветок
печение	процесс действия
подлость	подлый поступок
привратник	место перехода
предуведомление	процесс действия
траверз	перпендикулярное направление
иды	особые день
утоление	процесс действия
вылазка	враждебное выступление
сопля	презренный человек
подача	относительное перемещение
стряпчий	московская русь
вывоз	общее количество
феска	головной убор
пригород	населил пункт
индивидуум	отдельный человек
сыр	пищевого продукт
земля	территориальная единица
домушник	квартирный вор
паломник	верующий человек
космонавтика	совокупность наук
лихач	удалый человек
словесность	литературное творчество
оркестровка	характер распределения
сновидение	образы картины
термин	конец жизни
фбр	федеральное бюро
торнадо	сильный ураган
мармелад	кондитерское изделие
стерлядь	промысловая рыба
бег	тайный уход
перераспределение	процесс действия
травматология	раздел медицины
опрыскивание	процесс действия
интеллектуализм	философская теория
эпидемия	широкое распространение
воронок	крытая машина
ноль	действительное число
морковина	отдельный корнеплод
свидетельство	показание свидетеля
клокотание	бурное проявление
квадратура	вычисление площади
труд	результат труда
фильтрация	движение жидкости
камень	отдельный кусок
пачка	небольшой пакет
итог	результат сложения
помеха	электромагнитный колебание
вздрагивание	процесс действия
изолятор	особое помещение
фискал	государственный чиновник
богатырь	крепкое сложение
златоуст	красноречивый оратор
водовоз	транспортное средство
гипс	мягкий минерал
набег	неожиданный порыв
общежитие	повседневная жизнь
аметист	драгоценный камень
обращение	процесс обмена
трагикомедия	смешное событие
креветка	десятиногий рак
разбазаривание	процесс действия
незнакомство	отсутствие сведений
зарево	отсвет пожара
этажность	количество этажей
щиток	железная маска
шум	громкий спор
абонемент	право пользования
пленка	тонкий слой
текст	слова предложения
нежелание	отсутствие желания
команда	спортивный коллектив
зараза	бранное слово
завывание	процесс действия
мстительность	мстительный характер
право	совокупность законов
выплата	сумма денег
диверсификация	вложение средств
снегурочка	сказочный образ
киви	птица отряда
ольшаник	торфяное болото
игрище	шумную игра
шабер	слесарный инструмент
джонка	парусное судно
скакун	непоседливый человек
составление	процесс действия
ацетилен	бесцветный газ
карась	пресноводная рыба
морс	прохладительный напиток
ротонда	женская одежда
пятилетие	промежуток времени
море	большого озеро
туча	густое облако \| тёмное облако
дюйм	единица длины
натиск	сильный напор
гусак	глупый человек
пресс-релиз	специальный бюллетень
многочлен	алгебраическое выражение
гражданство	принадлежность лица
знак	почтовая оплата
презрение	процесс действия
пантомима	театральное представление
связь	взаимная зависимость
шоу	эстрадное представление
статут	законодательные акт
провидение	религиозные представление
бяка	плохого человек
снаряжение	предметы приспособления
тип	категория лиц
осквернение	процесс действия
подсумок	кожаная сумка
костерок	небольшой костер
нацменьшинство	национальное меньшинство
замполит	заместитель командира
отрицание	необходимый момент
матадор	главный участник
порт	портовый город \| приморский город
сотский	должностное лицо
подтягивание	процесс действия
упокоение	процесс действия
райя	старая турция
священнослужитель	служитель культа
шнурок	тонкий шнур
колосс	громадные размер
строчка	короткая очередь
инструментарий	совокупность инструментов
этап	промежуток времени
узел	сложное переплетение
полчище	большой толпа
колкость	колкая насмешка
столица	главный город
истребление	процесс действия
затопление	процесс действия
аура	особое состояние
примитивизм	изобразительное искусство
черепица	кровельный материал
выкидыш	преждевременное прекращение
интерпол	международная организация
свобода	государственная независимость
ягненок	кроткий человек
смирение	отсутствие гордости
купон	отрез материи
соучастие	процесс действия
кряж	крепкое сложение
баран	стенобитное орудие
поправка	исправление ошибки
гора	гористая местность
корпус	совокупность лиц
пропаганда	идеологическое воздействие
клещ	членистоногое животное
пелена	нижний край
зеркало	медицинский инструмент
нищенка	бедная женщина
пузырь	болезненное вздутие
плотина	гидротехническое сооружение
ананас	тропическое растение
кристаллизация	процесс образования
богатство	внешнее великолепие
приход	церковная организация
фистула	высокий звук
перепелица	самка перепела
агентство	местное отделение
самоотравление	отравление организма
мудрование	процесс действия
призвание	дело жизни
тьма	большого количество
крупка	крупный помол
новолуние	время появления
джаз	музыкальный произведение
фальсификация	изменение качества
чека	чрезвычайная комиссия
синь	составе названий
стража	вооружённая охрана
кубарь	детская игрушка
фельдфебель	иностранные армия
авангард	отряд войска
мороз	сильный холод
тайна	скрытая все
шмель	насекомое семейства
бордюр	цветная полоска
иномарка	легковой автомобиль
махатма	мирового дух
гвоздик	удлинённый предмет
перенапряжение	повышение напряжения
павильон	театральная декорация
еда	приём пищи
яблочко	матросская песня
удача	исход дела
ватман	ватманская бумага
свист	высокий звук
сеньор	наименование мужчины
форточка	стеклянная дверца
мозг	основное ядро
свиток	полоса бумаги
чернокожий	негроидная раса
карусель	стремительное движение
беспокойство	нарушение покоя
декларация	торжественное заявление \| официальное провозглашение \| программное заявление
клоака	подземный канал
шприц	медицинский инструмент
ролик	фарфоровый изолятор
редакция	группа работников
комбинирование	процесс действия
синьория	политическое устройство
луковица	церковный купол
запах	свойство веществ
педагогика	воспитательные прием
капитанша	жена капитана
нукер	горские народ
звезда	деятеле искусства
отвлеченность	отвлечённое рассуждение
поганец	мелкий человек
комиссионер	должностное лицо
битюг	плотное сложение
капуцин	американские обезьяна
полянка	свободное пространство
извержение	бурное проявление
хребет	горная цепь
вывод	типографский набор
сквернословие	непристойный слово
клеть	подъёмное устройство
спартакиада	массовое соревнование
накидка	головной убор
дрянь	дурной человек
транквилизатор	лекарственный препарат
хлеб	пищевого продукт
лоск	внешний блеск
принцесса	жене дочери
противоположение	процесс действия
трещотка	музыкальный инструмент
козырь	стоячий воротник
освящение	процесс действия
корабль	парусное судно
сохранение	процесс действия
бокс	кулачный бой
омерзение	крайнее отвращение
психиатрия	отрасль медицины
стимуляция	физическое воздействие
драматургия	отличительный черта
отставание	недостаточный уровень
ствол	значении единицы
лошадь	крупное непарнокопытное
свод	совокупность правил
анабиоз	временное ослабление
лютеранство	основные направление
сопляк	маленький ребенок
футеровка	облицовочный слой
древность	материальная культура
дискотека	танцевальный зал
цилиндр	видный предмет
осмысление	процесс действия
рейс	мелкая монета
изгнание	процесс действия
состоятельность	материальная обеспеченность
карманник	карманный вор
папаха	меховая шапка
пылинка	частица пыли
буква	графический знак
каюк	небольшая лодка
ассигнация	бумажные деньги
консистенция	степень густоты
экспликация	режиссёрский план
террор	физическое насилие
лук	ручное оружие
плавсредства	плавательный средство
балаган	театральное искусство
агнец	послушный человек
неверие	отсутствие веры
точность	степень соответствия
статистика	количественный учет
чугунка	железная дорога
интегрирование	процесс действия
обобщение	процесс действия
баня	строгое наказание
состояние	социальная группа
альтернатива	необходимость выбора
оформление	внешняя сторона
равенство	положение людей
резерв	запасный фонд
фигура	незнакомый человек
конюшня	запустило помещение
крикун	небольшая птица
фантазия	музыкальное произведение
излом	место поворота
накал	степень нагрева
боковой	боковой дорожка
нашатырь	хлористый аммоний
эльф	скандинавская мифология
паритет	принцип равенства
касторка	касторовое масло
представитель	типичный образец
мифологема	составным элемент
исламизм	религиозная система
мишка	игрушечный медведь
сумма	результат сложения
малахай	головной убор
глыба	большие размер
метро	железная дорога
костер	куча дров
агония	слабый вспышка
тур	плетёная корзина
тренировка	процесс действия
ревю	иностранный журнал
неуважение	отсутствие уважения
плуг	сельскохозяйственное орудие
амфитеатр	древняя греция
реплика	последний слово
ленинизм	учение ленина
развал	полное развитие
родник	водный источник
тойон	титул князя
шутка	комическая пьеса
академик	действительный член \| член академии
фибрин	белковое вещество
кинофестиваль	показ кинофильмов
сказка	официальное показание
обществоведение	совокупность наук
кругляк	исходное материал
шептун	хриплый голос
вздох	выражение чувства
картография	научная дисциплина
гонорея	венерическая болезнь
солома	сухие стебель
сток	масса жидкости
мужик	невежественный человек
стройка	процесс действия
здание	архитектурное сооружение
марш-бросок	стремительное передвижение
лилия	женское имя
окончание	последняя стадия
священство	христианское вероучение
статика	равновесие тел
малица	верхнюю одежда
сутки	единица измерения
рационализм	философское направление
материализм	практическое отношение
наезд	короткое время
криз	острый приступ
подвиг	неблаговидные поступок
куропатка	дикая птица
массив	большого пространство
накал	крайняя степень
грант	денежное пособие
война	вооружённая борьба
предание	устный рассказ
акрополь	древнегреческие город
поиск	способ разведки
антитеза	стилистический прием
покраска	процесс действия
осмотрительность	крайняя осторожность
теория	научное предположение
диск	гимнастический снаряд
коммивояжер	торговый агент
лесопилка	лесопильный завод
каземат	оборонительное сооружение
банан	неудовлетворительная оценка
радио	совокупность приборов
лекция	устное изложение
разбавление	процесс действия
удар	отрывистый звук
промокашка	промокательная бумага
тельник	нательный крест
член	служебное слово
перегруппировка	процесс действия
пара	однородный предмет
прозябание	безрадостная жизнь
дейтерий	изотоп водорода
гербицид	химический препарат
см	предметов мебели
взрыв	химическая реакция
фламинго	водная птица
бак	большого сосуд
теософия	мистическое учение
хула	резкое осуждение
кулич	белый хлеб
ампула	стеклянный сосуд
масло	масляный краска
парламент	судебное учреждение
большинство	большее число
птаха	небольшая птица
общественность	общественный организация
иллюзия	искажённое восприятие
горбуша	промысловая рыба
самодержавие	неограниченная власть
тундра	безлесное пространство
троллейбус	транспортная машина
червоточина	личинках насекомых
квота	норма представительства
мель	неглубокое место
свеча	крутой взлет
лишение	недостатки нехватки
богомол	хищное насекомое
розетка	группа листьев
люди	господский дом
клеймение	процесс действия
банкрот	несостоятельный должник
химкомбинат	химический комбинат
спряжение	полный комплект
небо	воздушное пространство
словесность	учебный предмет
промедление	процесс действия
конвейер	механическое устройство
качество	логические категория
контратака	решительное выступление
практик	деловой человек
провал	прекращение деятельности
лимфа	бесцветная жидкость
кронверк	крепостное укрепление
переполох	внезапное смятение
пузо	большого живот
отрок	младший член
показание	письменное изложение
воля	способность человека
духан	небольшой ресторан
хутор	южные область
явление	процесс действия
внимательность	проявление внимания
мразь	презренные человек
спайка	место соединения
артиллерия	научная дисциплина
дегустация	определение качества
антропософия	мистическое учение
континент	крупные часть
заявление	официальная бумага
смысл	разумное основание
бульон	чистое ничто
висмут	химический элемент
анонс	предварительное объявление
гулянка	весёлое времяпрепровождение
расположение	благоприятное отношение
кадило	металлический сосуд
лишек	необходимое число
ворсинка	нитевидное образование
неспособность	отсутствие способности
благородство	нравственный качество
резервация	места поселения
служба	работа занятия
приспособленец	беспринципный человек
горница	чистая половина
выстраивание	процесс действия
лакомство	лакомое блюдо
геликон	музыкальный инструмент
скрининг	медицинское обследование
кулак	зажиточный крестьянин
проделывание	процесс действия
глобализм	внешняя политика
миллиардер	обладатель богатства
штука	тысяча рублей
федерация	государственное устройство
скоба	металлическая пластинка
лагерь	оздоровительное учреждение
обыватель	постоянный житель
стан	полный комплект
цру	разведывательное управление
проницаемость	способность тела
голос	отдельный человек
ток	электрическая энергия
цк	центральный комитет
лета	возраст года
фургон	закрытый кузов
юрист	юридический состав
баланс	сводная ведомость
примус	нагревательный прибор
арсенал	совокупность средств
трагизм	трагическое начало
движение	общественная деятельность
червяк	постоянное наличие
примитив	последующий явление
семантика	значение слова
клоака	грязное место
помещик	дореволюционная россия
первооснова	первоначальная основа
агротехника	система приемов
дурак	бранное слово
уран	химический элемент
намаз	религиозный обряд
онтология	раздел философии
зоология	раздел биологии
коммюнике	официальное сообщение
уточнение	процесс действия
подземелье	подвальное помещение
нерест	метание икры
закрепощение	процесс действия
трагедия	тяжёлое потрясение
ругательство	бранное выражение
взвод	небольшой отряд
эрос	бог любви
прострел	острая боль
диссертация	исследовательская работа
скрепление	процесс действия
судьба	судьбы судеб
шайка	деревянный сосуд
статья	самостоятельный раздел
иволга	птица отряда
челобитье	письменная просьба
воспевание	процесс действия
авантюрист	беспринципный человек
озноб	ощущение холода
маска	скульптурное изображение
градоначальник	должностное лицо
балагурство	весёлая болтовня
глухота	частичное отсутствие
бриллиант	типографские шрифт
грешник	грешный человек
компьютер	электронное устройство
дно	твёрдая почва
прецедент	последующий случай
тетанус	инфекционное заболевание
имущество	общее вещь
анатомия	строение организма
отклик	душевное движение
жнитво	сжатый хлеб
ветеринария	научная дисциплина
отражение	способность сознания
хорда	отрезок прямой
компонент	составным элемент
яровой	мыслящий человек
следование	процесс действия
танцмейстер	учитель танцев
халтура	лёгкий заработок
процесс	болезненное состояние
обморожение	процесс действия
опустошение	процесс действия
махаон	дневная бабочка
тройка	автобуса трамвая
донос	орудие борьбы
саквояж	дорожная сумка
массажист	медицинский работник
градиент	мера возрастания
внушаемость	повышенная восприимчивость
выпуск	доменная печь
вышка	высокая башня
наряд	артиллерийский орудие
миссия	ответственное задание
сговор	тайное соглашение
капитан	офицерское звание
тиски	охват противника
обломок	прежнее время
линия	узкая полоса
мамочка	фамильярное обращение
ракетница	специальное приспособление
марка	денежная единица
ветряк	ветряный двигатель
жестянка	кусочек жести
спецкурс	курс лекций
артериосклероз	разные заболевание
статус	существующее положение
стойка	неподвижная поза
медвежонок	неловкий человек
мотыль	личинка комара
февраль	последний месяц
корона	светлый ореол
создание	процесс действия
фанатизм	образ мыслей
видеокамера	телевизионная камера
почерк	индивидуальный манера
замалчивание	процесс действия
идея	идеалистическая философия
местность	определённое пространство
развертка	металлорежущий инструмент
комбинация	ряд приемов
порубка	незаконная рубка
типаж	совокупность типов
раздражение	состояние возбуждения
полка	кремнёвые пистолет
комментарий	информационный материал
вознесение	процесс действия
комплемент	белковый комплекс
молокосос	бранное слово
жираф	крупное жвачное
набор	охапка сена
жатва	уборка урожая
шквал	резкое проявление
жизнеописание	описание жизни
корень	решение уравнения
производство	отрасль промышленности
бурьян	сорный трава
парнас	древнегреческая мифология
панама	широкополая шляпа
ландскнехт	карточная игра
история	учебный предмет
биология	совокупность признаков
затор	скопление транспорта
депутат	выборное лицо
космополитизм	взгляды убеждения
цска	спортивный клуб
прогноз	научное предсказание \| специальное исследование
вселенная	земной шар
реал	испании португалии
уточка	уменьшение предмета
обскурант	враг науки
дырка	сквозное отверстие
колодка	деревянный ошейник
панель	деревянная обшивка
перевалка	перемещение грузов
оппортунист	беспринципный человек
форсаж	резкое усиление
челюсть	деталь механизма
эвм	вычислительная машина
диктант	письменная работа
амбразура	дверной проем
реквием	католическая церковь
ажур	художественное изделие
шпак	штатский человек
радиовещание	основные средство
охранение	процесс действия
конопляник	участок земли
брюшина	внутренняя оболочка
блик	слиток серебра
киноаппарат	киносъёмочный аппарат
число	день месяца
иллюминатор	круглое окно
крынка	количество жидкости
филистер	ограниченный человек
аэрозоль	коллоидная система
робот	автоматическое устройство
тля	никчёмный человек
репетиция	бой часов
диспозиция	план расположения
торт	кондитерский пирог
бескозырка	головной убор
беснование	процесс действия
камергер	почётное звание
гладь	земное пространство
оскал	ряд зубов
пуд	русская мера
хорей	двухсложная стопа
планирование	процесс действия
отстройка	процесс действия
простокваша	кислое молоко
разумник	рассудительный человек
фигура	оборот речи
покрой	фасон одежды
забота	беспокойная мысль
боекомплект	определённое количество
хлыстовщина	христианские секта
смерч	круговое движение
кречет	хищная птица
физкультура	физический упражнение
канцлер	гражданский чин
прописка	оформление документа
чтиво	литературное произведение
застава	сторожевой пункт
объезд	группа всадников
поросль	верхний побег
возрастание	процесс действия
каламбур	остроумное выражение
веяние	образ мыслей
ринг	капиталистические страна
миокард	мышечную ткань
базальт	горная порода
анаграмма	перестановка букв
хлебец	небольшой хлеб
сочувствие	отзывчивое отношение
осмий	химический элемент
миллион	огромное количество
пожаротушение	тушение огня
железняк	железная руда
мартышка	некрасивый человек
гарус	шерстяная пряжа
баклуши	деревянный чурка
месса	католическая церковь
бетонка	автомобильная дорога
сословие	группа людей
банкротство	состояние дел
багульник	вечнозелёный кустарник
дед	отец матери
перелесок	крупный лес
оправа	большой очки
штурвал	штурвальное колесо
чурка	обрубок дерева
оператор	высококвалифицированный рабочий
размах	вращательное движение
орхидея	травянистое растение
небо	религиозные представление
киношник	любитель кино
порог	наименьшая величина
клинопись	алфавит буквы
телеграмма	срочное сообщение
проказа	инфекционная болезнь
присяжный	присяжный заседателей
тяготение	взаимное притяжение
спальник	придворная должность
серия	последовательный ряд
соглашение	процесс действия
мрак	глубокое уныние
властелин	верховный правитель
штаб	руководящий орган
отель	комфортабельные гостиница
росинка	капелька росы
сетование	процесс действия
сленг	совокупность слов
энергия	основные свойство \| количественная мера
боксер	сильная собака
шип	небольшой брусок
индейка	домашняя птица
сап	заразное заболевание
капрон	синтетические волокно
догмат	основное положение
ратификация	окончательное утверждение
интернационализм	политика пролетариата
валериана	лекарственный препарат
ухват	длинная палка
сияние	счастливое выражение
империал	царская россия
эмаль	гладкая поверхность
электрон	сплав алюминия
аккредитация	процедура назначения
фохт	современная германия
каравай	круглый хлеб
скелет	характерный суть
кабаре	небольшой ресторан
полукруг	половина круга
противопоказание	состояние организма
конфета	кондитерское изделие
штейн	промежуточный продукт
локоть	русская мера
ваяние	скульптурное изображение
сковородка	загнутые край
боярство	служилое сословие
диспансер	медицинское учреждение
тело	ограниченное пространство
оборачиваемость	перевозочные средство
согласие	взаимная договоренность
интеллигент	культурный человек
делец	предприимчивый человек
самодержец	самодержавный монарх
дорожка	полоса земли
отбывание	процесс действия
злоба	чувство недоброжелательства \| чувство злости
разгадка	решение загадки
всепрощение	полное прощение
ябеда	письменная жалоба
лоджия	глубокая ниша
взвизг	высокий звук
глазница	глазная болезнь
посудомойка	посудомоечная машина
паровоз	паровой двигатель
искусство	тонкое знание
металлообработка	технологический процесс
выигрыш	благоприятный исход
пимы	северные народ \| меховые сапог
недуг	душевное состояние
дождь	атмосферный осадка
очертание	общее содержание
благонадежность	дореволюционная россия
проституция	эксплуататорское общество
торгаш	мелочный торговец
прибаутка	острое словцо
ковш	металлический сосуд
снеток	небольшая рыбка
горение	процесс действия
триоль	ритмическая фигура
агрегат	соединение деталей
электропередача	совокупность приспособлений
стена	ряд бойцов
зараза	вредный человек
вахта	группа людей
инсектицид	химический препарат
шест	спортивный снаряд
шитик	плоскодонная лодка
куплетист	эстрадный артист
разминка	физический упражнение
горчичник	лист бумаги
шашка	строительный материал
полоса	узкий участок
поднос	деревянная доска
предрассудок	разумные основание \| ложный взгляд
должность	служебное занятие
колбаса	пищевого продукт
проросток	стебель растения
вонь	дурной запах
уралец	уральский казак
кухня	закулисная сторона
электролиз	химический процесс
подкрепление	воинский часть
закаливание	процесс действия
герцогство	феодальное государство
размножение	свойство организмов
шкалик	русская мера
предикат	член предложения
крачка	водоплавающая птица
ярыга	беспутный человек
драп	поспешное бегство
стенокардия	болезнь сердца
сполох	тревожный звон
погода	состояние атмосферы
мука	порошкообразный продукт
хладнокровие	ясное спокойствие
щель	укромное место
боб	плод растения
звание	словесное обозначение
демонстрант	участник демонстрации
аванпост	сторожевой пост
мимоза	тропическое растение
томан	золотая монета
пыжик	северный олень
дурища	глупая женщина
равенство	алгебраическое выражение
группа	скульптурное изображение
дрязги	мелкий ссора
гарнец	русская мера
грибок	лёгкая постройка
архаизм	предмет быта
раек	народное зрелище
гортань	начальный отдел
погранвойска	пограничный войско
вахмистр	царская армия
раб	бесправный человек
еврейство	характерный черта
плантация	большого участок
сенсация	детская все
крепь	крепостное право
свирель	музыкальный инструмент
крыло	лопастей колеса \| лопасть колеса \| плоские поверхность
секретарь	отдельное лицо
железка	карточная игра
театр	сценическое искусство
институт	совокупность норм
исповедник	христианская церковь
начальство	власть начальника
падишах	титул монархов
математика	учебный предмет
квазар	космический объект
сознание	человеческая способность
шкура	корыстный человек
модуль	точные наука
тезис	основной положение
раскрываемость	отношение количества
банка	жестяная коробка
мигание	процесс действия
обдумывание	процесс действия
общество	социальная система
инфекция	возбудитель болезни
рынок	шумный спор
компенсация	денежная сумма
пересылка	процесс действия
плотность	отношение количества
бригада	производственная группа
ремонт	пополнение убыли
закрывание	процесс действия
удел	участок земли
вразумление	процесс действия
навязывание	процесс действия
смесь	совокупность предметов
болото	общественная среда
чиж	лесной птица
раздражение	процесс действия
почка	русская единица
кардиограмма	графическое изображение
линия	пограничная полоса
мухомор	ядовитый гриб
радиация	ионизировало излучение
пятерка	денежный знак
развал	полное расстройство
хам	бранное слово
голова	умственный способность
рассмотрение	процесс действия
раек	верхний ярус
даль	значительное расстояние
фараон	древний египет
императив	повелительное наклонение
тетка	сестра отца
фонд	общественная организация
вождь	политический руководитель
табурет	деревянная табуретка
репорт	перенос суммы
клетка	участок поля
пасха	огородное кушанье
