гаршнеп	болотная птица отряда
щур	певчая птица семейства
муниципалитет	орган местного самоуправления
декрет	акт высших органов
термометр	прибор для измерения
куртизанка	женщина легкого поведения
оклад	размер заработной платы
сериал	совокупность художественных произведений
колонка	ряд коротких строк
газопровод	трубопровод для передачи
азот	газ без цвета
кукольник	актер кукольного театра
белена	травянистое растение семейства
совнархоз	совет народного хозяйства
светец	подставка для лучины
халифат	система государственного устройства
розетка	устройство для присоединения
респиратор	прибор для защиты
порт	место для стоянки
писсуар	раковина в уборной
кичка	праздничный головной убор
местожительство	место постоянного проживания
поставец	сосуд для питья
коромысло	насекомое из отряда
ластик	шелковистая хлопчатобумажная ткань
совок	гражданине советского союза
труба	медный музыкальный инструмент
баядерка	женщина легкого поведения
менеджер	специалист в области
гусли	щипковый музыкальный инструмент
ревень	многолетнее растение семейства
полеводство	отрасль сельского хозяйства
сон	состояние полного покоя
оговорка	ошибка в речи
новообразование	появление новых форм
овчарка	порода служебных собак
гоголь	птица из породы
норка	изделия из меха
икона	произведение изобразительного искусства
метис	потомок от брака
заря	зари до зари
перфоратор	прибор для пробивания
дивизион	соединение военных кораблей
леность	склонность к лени
корыто	предмет хозяйственного обихода
лот	группа однородных предметов
ресторан	предприятие общественного питания
кречет	хищная птица семейства
задвижка	приспособление для закрывания
тупоумие	ограниченность умственных способностей
письмо	система графических знаков
чтец	человек в обязанности
стоянка	место временного расположения
кофеварка	сосуд для варки
натюрморт	жанр изобразительного искусства
однодворец	лицо из числа
мизантропия	отчуждение от людей
кооператор	деятель в области
гипноз	воздействие на человека
подойник	сосуд в к
вырезка	мясо высшего сорта
нечистоты	содержимое выгребных ям
монолог	речь действующего лица
прихожанин	член религиозной общины
нить	тонкой длинной линии
часть	область практической деятельности
письменность	система графических знаков
галка	птица из семейства
тюльпан	декоративное растение семейства
коммутация	преобразование переменного тока
богослов	специалист в области
присутствие	исполнение служебных обязанностей
кантата	вокально инструментальное произведение
преобразователь	устройство для преобразования
шелковица	плодовое дерево семейства
пудель	порода комнатных собак
немка	учительница немецкого языка
полотенце	изделие из ткани
федерализм	принцип государственного устройства
боевик	член боевой дружины
заглушка	приспособление для закрывания
бытие	книги ветхого завета
лимон	вечнозеленое цитрусовое дерево
особа	лицо женского пола
бульдог	собака особой породы
театр	совокупность драматических произведений
тунец	хищная рыба семейства
операция	выполнение отдельной задачи
уран	планета солнечной системы
естественник	специалист в области
наследственность	способность живых существ
залежи	месторождения полезных ископаемых
зонтик	козырек для защиты
оправка	приспособление для крепления
черноморец	моряк черноморского флота
транскрипция	переложение музыкального произведения
август	месяц календарного года
биохимик	специалист в области
животновод	специалист в области
текучесть	свойство твёрдых тел
газопровод	сооружение для подачи
парусина	ткань полотняного переплетения
прогимназия	общеобразовательное учебное заведение
волк	хищное животное семейства
танцплощадка	площадка для танцев
химия	отрасль химической промышленности
управа	россии до г
лицо	верхняя сторона предмета
филолог	специалист в области
электропередача	передача электрической энергии
аэробика	комплекс физических упражнений
тамбурин	музыкальный инструмент род
черемша	луковичное растение семейства
нимб	сияние вокруг головы
рыжик	травянистое растение семейства
водник	работник водного транспорта
дрозд	птица из семейства
народность	совокупность национальных черт
дальномер	прибор для определения
шпинат	кушанье из листьев
емкость	сосуды для хранения
статика	раздел теоретической механики
кубрик	помещение для команды
марс	солнца больших планет
ню	жанр изобразительного искусства
пакет	ряд однородных предметов
осьминог	животное из отряда
танк	резервуар для хранения
гармонист	специалист в области
альянс	объединение отдельных лиц
такси	автомобиль для перевозки
октябрь	месяца календарного года
ар	мера земельной площади
хрен	овощное растение семейства
лесоводство	наука о природе
весы	прибор для измерения
иносказание	выражение отвлеченного понятия
гусар	военный из частей
коршун	хищная птица семейства
руль	устройство для управления
восстановитель	средство для восстановления
ипотека	залог недвижимого имущества
плашка	инструмент при помощи
уголовник	специалист в области
колледж	среднее учебное заведение
измор	гибель от голода
междуцарствие	период в жизни
база	склад для хранения
ферт	руки в бока
алхимия	направление в химии
отдушина	отверстие для выхода
зверобой	охотник на зверей
раскол	россии с середины
новь	хлеб нового урожая
баритон	духовой музыкальный инструмент
голь	люди разных сословий
штамп	инструмент для обработки
спираль	фигура высшего пилотажа
голиаф	человек огромного роста
мультипликатор	специалист в области
подъемник	устройство для подъема
консульство	период в истории
затея	занятие для развлечения
автосалон	выставка новейших образцов
гидроусилитель	устройство для усиления
стилист	специалист в области
языковед	специалист в области
светильня	подставка для лучины
нефтянка	судно для перевозки
бактериолог	специалист в области
настил	поверхность из досок
ноябрь	месяц календарного года
инжир	плодовое дерево семейства
пройма	прибор для определения
туалет	помещение для отправления
тамбур	музыкальный инструмент род
компас	прибор для определения
злато	изделия из золота
балахон	крестьянская верхняя одежда
собака	изделия из меха
пульверизатор	прибор для распыления
часы	прибор для определения
письменность	совокупность письменных памятников
ложа	место у стены
ель	вечнозеленое дерево семейства
селекционер	специалист в области
постав	машина для обработки
флотилия	соединение военных судов
штамп	машина для резки
довольство	чувство внутреннего удовлетворения
радиостанция	совокупность технических устройств
зонд	прибор для определения
форель	кушанье из мяса
ревизор	лицо командного состава
марс	планета солнечной системы
сом	хищная рыба семейства
голец	пресноводная рыба семейства
недоверие	сомнение в достоверности
муфта	устройство для соединения
салон	предприятие бытового обслуживания
регистр	орган государственного надзора
вакса	средство для ухода
левит	книга ветхого завета
окно	отверстие для выхода
государь	глава монархического государства
анестезиолог	специалист в области
исступление	состояние крайнего возбуждения
стилистика	совокупность выразительных средств
мерило	основанием для оценки
полпред	посол в ссср
стан	место временного расположения
анис	травянистое однолетнее растение
эфес	рукоятка холодного оружия
миска	предмет домашней утвари
корнет	россии до революции
гектар	мера земельной площади
органик	специалист в области
россказни	сомнение в достоверности
дорога	средство для достижения
пеночка	птица из семейства
радиовещание	передача по радио
пропагандист	член коммунистической партии
сопротивление	элемент электрической цепи
бухгалтер	специалист в области
люцерна	кормовое растение семейства
смолокур	специалист в области
камера	собрание народных представителей
шип	промысловая рыба семейства
книгохранилище	помещение для хранения
ларец	ящичек для хранения
хореограф	специалист в области
товаровед	специалист в области
пиала	сосуд для питья
дошкольник	ребёнок дошкольного возраста \| ребенок дошкольного возраста
орган	клавишный музыкальный инструмент
браслет	изделие из металла
интернат	общежитие для учащихся
адонис	многолетнее травянистое растение
муфта	принадлежность женской одежды
этюдник	папка для хранения
детонатор	заряд взрывчатого вещества
ландыш	травянистое растение семейства
совет	органа государственной власти
телеграф	устройство для передачи
десятина	единица земельной площади
аудитор	должность судебного следователя
фасоль	травянистое растение семейства
камелия	женщина легкого поведения
храп	прибор для взятия
рекомбинация	расположение составных частей
магнитофон	аппарат для записи
собачник	помещение для содержания
крепление	приспособление для скрепления
горошек	травянистых растений семейства
фонтан	устройство для подачи
радар	устройство для обнаружения
чехол	принадлежность женской одежды
ложе	место для спанья
жизненность	способность живого существа
горбыль	промысловая рыба отряда
культиватор	орудие для рыхления
флаг-офицер	лицо командного состава
ножницы	инструмент для резания
жилет	одежда без рукавов
баррикада	сооружение из бревен
тройка	отметка об успеваемости
новинка	товар нового сорта
жена	лицо женского пола
папство	система церковного управления
скатерть	изделие из ткани
пи	буквы греческого алфавита
микромир	мир материальных частиц
тишина	состояние душевного покоя
востоковед	специалист в области
конюшня	помещение для содержания
курильница	прибор для сжигания
камелия	растение из семейства
хата	украине в белоруссии
пробка	наружный слой коры
караул	крик о помощи
пистолет	ручное огнестрельное оружие
валун	обломок горной породы
алкоголь	класс органических соединений
тиснение	способ художественной обработки
ранец	сумка для ношения
дом	место постоянного проживания
нарколог	специалист в области
секунда	ступень диатонической гаммы
июнь	месяца календарного года
кедр	вечнозеленое дерево семейства
поплавок	прибор для регулирования
жерех	промысловая рыба семейства
стажировка	прохождение испытательного срока
стерлядь	промысловая рыба семейства
нож	инструмент для резания
благотворительность	оказание материальной помощи
фа	нот музыкальной гаммы
прерыватель	устройство для замыкания
международник	специалист в области
протодиакон	дьякон высшего чина
ленца	наклонность к лени
клюв	образование у птиц
фармаколог	специалист в области
куб	произведение от умножения
приемник	устройство для приема
текстура	расположение составных частей
кокошник	русский головной убор
железнодорожник	работник железнодорожного транспорта
лисица	изделия из меха
картер	приспособление для защиты
аист	перелётная птица отряда
астроном	специалист в области
славист	специалист в области
сотка	единица земельной площади
корт	площадка для игры
стойло	помещение для содержания
межа	граница земельных участков
альт	смычковый музыкальный инструмент
пресс-релиз	сообщение для печати
аффект	состояние сильного возбуждения
пищевод	отдел пищеварительного тракта
стекляшка	здании из стекла
седалище	место для сидения
путеец	студент учебного заведения
повеление	указ верховной власти
лахудра	женщина лёгкого поведения
пульт	подставка для нот
бета	буквы греческого алфавита
терминал	устройство в эвм
сценарий	список действующих лиц
наган	револьвер особой системы
каток	приспособление для скатывания
намет	сеть для ловли
бурса	общежитие для учащихся
минерализация	разложение органических веществ
охотовед	специалист в области
тиски	приспособление для зажима
геофизика	комплекс научных дисциплин
птица	животное из класса
соловей	певчая птица отряда
рапсодия	вокально инструментальное произведение
ярус	пласт земной коры
передатчик	аппарат для передачи
овощехранилище	помещение для хранения
пихта	хвойное дерево семейства
бескозырка	фуражка без козырька
омуль	рыба из породы
мех	одежда из меха
мост	сооружение для перехода
слабоумие	заболевание нервной системы
караульня	помещение для караула
вентиль	приспособление для изменения
кардиолог	специалист в области
анонимка	письмо без подписи
тысяцкий	выборный от крестьян
столбец	ряд коротких строк
драматургия	совокупность драматических произведений
штуцер	ружьё крупного калибра
арахис	травянистое растение семейства
синьора	наименование замужней женщины
локатор	устройство для определения
мокрица	сорное растение семейства
оборона	система оборонительных сооружений
скрипка	смычковый музыкальный инструмент
табак	декоративное растение семейства
криминалист	специалист в области
паноптикум	музей восковых фигур
кабриолет	кузова легкового автомобиля
верблюд	животное из породы
аэровокзал	здание для обслуживания
шлепок	звук от удара
расстрига	служитель религиозного культа
приход	поступление денежных средств
полицай	числа местного населения
бурдюк	мешок из шкуры
корабль	судно военного флота
спелеолог	специалист в области
парник	помещение для выращивания
изнеможение	состояние крайней усталости
ролл	машина для размола
гипофиз	железа внутренней секреции
ловушка	приспособление для ловли
фоторобот	устройство для получения
гимнастика	упражнения для развития
топограф	специалист в области
аграрий	специалист в области
малица	народов крайнего севера
станок	приспособление для укрепления
волюнтаризм	направление идеалистической философии
теплота	ощущение внутреннего тепла
выпрямитель	устройство для преобразования
эпидемиолог	специалист в области
маслина	плодовое дерево семейства
штопор	фигур высшего пилотажа
конденсатор	устройство для накопления
сарафан	платье без рукавов
выпуск	устройство для приема
привратник	сторож у ворот
фреза	машина для измельчения
мех	мешок из шкуры
гирлянда	ряд однородных предметов
психолог	специалист в области
георгин	многолетнее растение семейства
причт	духовенство христианского храма
обувь	изделие из кожи
плевел	травянистых растений семейства
монах	член религиозной общины
шарашка	годы сталинских репрессий
широковещание	передача по радио
волна	явлении в жизни
су	франции до г
битюг	порода рабочих лошадей
изотоп	атом химического элемента
континент	крупных частей суши
гинеколог	специалист в области
лабаз	помещение для хранения
сетка	сумка для ношения
гонг	ударный музыкальный инструмент
политика	система государственных мероприятий
медведь	изделия из меха
формообразование	появление новых форм
снежник	место наибольшего скопления
звонок	устройство для подачи
надзор	деятельности государственных органов
лечебница	учреждение для лечения
феодал	представитель господствующего класса
папа	глава католической церкви
фонограф	прибор для записи
обоз	совокупность перевозочных средств
офтальмолог	специалист в области
сиська	сосок женской груди
сепаратор	аппарат для отделения
стража	группа вооруженных людей
гордость	чувство собственного достоинства
логовище	место для спанья
постель	место для спанья
террор	угроза физической расправы
верста	человек высокого роста
герой	главное действующее лицо
баба	мужчина робкого нрава
высота	протяженность по вертикали
мадам	россии до г
лафит	вина из винограда
румба	танец четырехдольного размера
снг	содружество независимых государств
кокотка	женщина легкого поведения
беркут	хищная птица семейства
энтомолог	специалист в области
свисток	приспособление при помощи
исключение	уклонение от нормы
кулик	болотная птица семейства
ми	нот музыкальной гаммы
башмак	термин для обозначения
павиан	обезьяна из рода
электротехник	специалист в области
расстояние	различие в степени
трансфер	перевод иностранной валюты
хранилище	помещение для хранения
архипастырь	высших чинов духовенства
сторожка	помещение для сторожа
февраль	месяц календарного года
ностальгия	тоска по родине
постановление	акт высших органов
гак	мера земельной площади
снегоход	автомобиль для передвижения
рислинг	вина из винограда
ширпотреб	товары широкого потребления
вселенная	население земного шара
шлейф	орудие для выравнивания
морошка	полукустарниковое растение семейства
уролог	специалист в области
регентство	пребывание в должности
безвкусие	отсутствие хорошего вкуса
машиностроитель	специалист в области
апельсин	вечнозеленое цитрусовое дерево
